Symbol,Side,Type,Quantity,Limit price,Stop price,Fill price,Status,Placing time,Closing time,Level ID
CME_MINI:MNQ1!,Sell,Market,10,,,30329.25,Filled,2026-06-04 08:46:31,2026-06-04 08:46:31,
CME_MINI:MNQ1!,Buy,Stop,4,,30306.5,,Cancelled,2026-06-04 08:46:31,2026-06-04 08:48:44,
CME_MINI:MNQ1!,Buy,Limit,4,30300.75,,30300.25,Filled,2026-06-04 08:46:31,2026-06-04 08:48:44,
CME_MINI:MNQ1!,Buy,Market,10,,,30303.75,Filled,2026-06-04 08:45:53,2026-06-04 08:45:54,
CME_MINI:MNQ1!,Sell,Stop,10,,30288,,Cancelled,2026-06-04 08:45:53,2026-06-04 08:46:16,
CME_MINI:MNQ1!,Sell,Limit,10,30318,,30318,Filled,2026-06-04 08:45:53,2026-06-04 08:46:16,
CME_MINI:MNQ1!,Buy,Market,1,,,30307.5,Filled,2026-06-04 08:45:12,2026-06-04 08:45:12,
CME_MINI:MNQ1!,Sell,Market,1,,,30302.5,Filled,2026-06-04 08:45:05,2026-06-04 08:45:05,
CME_MINI:MNQ1!,Sell,Market,1,,,30301,Filled,2026-06-04 08:44:56,2026-06-04 08:44:57,
CME_MINI:MNQ1!,Sell,Market,1,,,30310.25,Filled,2026-06-04 08:44:45,2026-06-04 08:44:45,
CME_MINI:MNQ1!,Sell,Market,1,,,30314.5,Filled,2026-06-04 08:44:25,2026-06-04 08:44:25,
CME_MINI:MNQ1!,Buy,Market,10,,,30318.25,Filled,2026-06-04 08:44:11,2026-06-04 08:44:11,
CME_MINI:MNQ1!,Sell,Limit,7,30337.75,,,Cancelled,2026-06-04 08:44:11,2026-06-04 08:45:01,
CME_MINI:MNQ1!,Sell,Stop,7,,30298.5,30301.75,Filled,2026-06-04 08:44:11,2026-06-04 08:45:01,
CME_MINI:MNQ1!,Sell,Market,1,,,30554,Filled,2026-06-01 14:44:47,2026-06-01 14:44:47,
CME_MINI:MNQ1!,Buy,Market,1,,,30554,Filled,2026-06-01 14:44:38,2026-06-01 14:44:38,
CME_MINI:MNQ1!,Sell,Stop,1,,30546.5,,Cancelled,2026-06-01 14:44:38,2026-06-01 14:44:47,
CME_MINI:MNQ1!,Sell,Limit,1,30560.5,,,Cancelled,2026-06-01 14:44:38,2026-06-01 14:44:47,
CME_MINI:MNQ1!,Sell,Market,15,,,30365.25,Filled,2026-05-29 13:14:44,2026-05-29 13:14:44,
CME_MINI:MNQ1!,Buy,Market,15,,,30362.5,Filled,2026-05-29 13:10:18,2026-05-29 13:10:18,
CME_MINI:MNQ1!,Sell,Stop,15,,30349.25,,Cancelled,2026-05-29 13:10:18,2026-05-29 13:14:44,
CME_MINI:MNQ1!,Sell,Limit,15,30374,,,Cancelled,2026-05-29 13:10:18,2026-05-29 13:14:44,
CME_MINI:MNQ1!,Sell,Market,20,,,28613.75,Filled,2026-05-07 13:21:49,2026-05-07 13:21:49,
CME_MINI:MNQ1!,Buy,Stop,20,,28626.75,,Cancelled,2026-05-07 13:21:49,2026-05-07 13:24:16,
CME_MINI:MNQ1!,Buy,Limit,20,28600.75,,28600.25,Filled,2026-05-07 13:21:49,2026-05-07 13:24:16,
CME_MINI:MNQ1!,Sell,Market,1,,,24451.5,Filled,2026-03-23 12:21:01,2026-03-23 12:21:01,
CME_MINI:MNQ1!,Buy,Market,1,,,24450.5,Filled,2026-03-23 12:19:44,2026-03-23 12:19:44,
CME_MINI:MNQ1!,Sell,Stop,1,,24435.5,,Cancelled,2026-03-23 12:19:44,2026-03-23 12:21:01,
